City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,semera,-76.4943,168.9787,245.08,100,100,6.09,AQ,1719668935
83,chibougamau,43.6465,-106.2287,284.34,74,19,2.06,US,1719668937
84,zag,24.592,141.3129,302.64,75,99,6.31,JP,1719668941
85,hadibu,-1.9636,23.1942,309.67,18,99,0.72,CD,1719668948
86,chamical,50.1768,-80.2811,284.4,98,100,2.02,CA,1719668950
87,santa cruz,62.8491,44.4328,297.84,32,15,3.64,RU,1719668954
88,westport,19.8037,-72.8088,302.07,65,100,4.04,HT,1719668956
89,arvayheer,29.3081,36.8045,308.2,10,0,4.4,SA,1719668966
90,tazovsky,18.1999,-14.9367,316.21,9,18,3.11,MR,1719668973
91,usinsk,52.9532,-99.4299,286.15,47,100,2.64,CA,1719668975
92,oum hadjer,-14.112,22.2009,300.63,21,0,1.69,ZM,1719668977
93,lebu,66.6303,-156.532,278.6,77,18,1.56,US,1719668981
94,shingu,-3.845,-67.1395,303.53,60,42,1.11,BR,1719668990
95,gizo,55.6882,-159.7016,282.3,98,100,4.72,US,1719669002
96,la passe,-37.9365,-60.6585,276.95,63,12,8.03,AR,1719669010
97,tughyl,8.0573,43.2229,302.61,34,57,8.88,ET,1719669016
98,guichon,76.9961,-117.3985,273.95,98,100,2.86,CA,1719669018
99,grootfontein,73.8993,-83.6351,273.43,93,100,2.36,CA,1719669029
100,robertsport,22.9105,108.8812,299.64,88,100,4.23,CN,1719669031
101,shulan,60.4917,8.6889,286.42,40,100,7.32,NO,1719669039
102,guerrero negro,22.065,-88.2506,299.73,84,100,10.62,MX,1719669041
103,pedernales,20.2171,-10.8256,316.74,6,42,10.94,MR,1719669074
104,cill airne,-17.407,167.1839,297.93,68,74,10.46,VU,1719669084
105,aripuana,17.9995,45.3915,313.57,6,98,5.72,SA,1719669093
106,sept-iles,27.9779,33.0559,311.25,16,32,7.66,EG,1719669095
107,manggar,72.3835,-154.3688,274.3,94,100,2.88,US,1719669097
108,san rafael,8.2658,31.3405,297.36,85,100,1.19,SS,1719669099
109,pustoshka,57.7965,91.9309,298.19,61,0,1.5,RU,1719669103
110,south hedland,49.3977,51.88,297.68,29,3,9.02,KZ,1719669107
111,ytyk-kyuyel',46.7464,93.1041,289.14,67,100,1.49,MN,1719669109
112,trairi,50.5387,120.8262,287.64,66,60,2.4,CN,1719669111
113,kurchatov,20.6011,77.206,303.96,62,100,0.87,IN,1719669126
114,kievka,-10.5278,40.5166,302.84,66,7,6.34,TZ,1719669136
115,mocimboa,20.1766,72.9147,300.78,88,100,6.73,IN,1719669155
116,xuanzhou,-43.8934,144.9757,281.87,66,100,12.81,AU,1719669165
117,port moresby,14.1678,-18.6176,297.88,75,22,3.14,SN,1719669182
